uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
P19484	TFEB	7942	O14980	XPO1	7514	human	0915:physical association	0004:affinity chromatography technology
Q61539	Esrrb	26380	Q99K74	Med24	23989	mouse	0915:physical association	0004:affinity chromatography technology
Q9Y618	NCOR2	9612	P48431	SOX2	6657	human	0915:physical association	0004:affinity chromatography technology
O75376	NCOR1	9611	Q15796	SMAD2	4087	human	0915:physical association	0364:inferred by curator
Q9NQB0	TCF7L2	6934	P35222	CTNNB1	1499	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0114:x-ray crystallography; 0364:inferred by curator; 0096:pull down; 0019:coimmunoprecipitation; 0004:affinity chromatography technology
P10244	MYBL2	4605	P24864	CCNE1	898	human	0407:direct interaction	0415:enzymatic study
P49116	NR2C2	7182	P41235	HNF4A	3172	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q96IT1	ZNF496	84838	Q8NF99	ZNF397	84307	human	0915:physical association	0004:affinity chromatography technology
P42568	MLLT3	4300	Q99496	RNF2	6045	human	0915:physical association	0004:affinity chromatography technology
Q53Z40	ZNF165	7718	O14641	DVL2	1856	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 0096:pull down; 0004:affinity chromatography technology
P22670	RFX1	5989	P08651	NFIC	4782	human	0915:physical association	0004:affinity chromatography technology
Q9H4I2	ZHX3	23051	Q01844	EWSR1	2130	human	0915:physical association	1313:bioid
Q9BT49	THAP7	80764	O15379	HDAC3	8841	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P01106	MYC	4609	Q14103	HNRNPD	3184	human	0407:direct interaction	0686:unspecified method
Q9NS56	TOPORS	10210	P78347	GTF2I	2969	human	0915:physical association	0004:affinity chromatography technology
P04198	MYCN	4613	Q969H0	FBXW7	55294	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q9UBL3	ASH2L	9070	P38398	BRCA1	672	human	0407:direct interaction	0018:two hybrid
P10275	AR	367	Q14686	NCOA6	23054	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q9H2A3	NEUROG2	63973	P51532	SMARCA4	6597	human	0915:physical association	0004:affinity chromatography technology
O15266	SHOX	6473	P35712	SOX6	55553	human	0915:physical association	0018:two hybrid; 0007:anti tag coimmunoprecipitation
Q6DJT9	PLAG1	5324	P84022	SMAD3	4088	human	0915:physical association; 0407:direct interaction	0018:two hybrid
O75376	NCOR1	9611	Q96EB6	SIRT1	23411	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
Q03112	MECOM	2122	P84022	SMAD3	4088	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P12757	SKIL	6498	O95551	TDP2	51567	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P03372	ESR1	2099	Q6FG41	FOS	2353	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P04637	TP53	7157	Q15788	NCOA1	8648	human	0407:direct interaction	0018:two hybrid; 0096:pull down
P18847	ATF3	467	Q9UQL6	HDAC5	10014	human	0407:direct interaction	0096:pull down
O00327	ARNTL	406	O15516	CLOCK	9575	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0364:inferred by curator; 0004:affinity chromatography technology
Q8BY02	Nkrf	77286	Q61545	Ewsr1	14030	mouse	0407:direct interaction	0018:two hybrid
P39880	CUX1	1523	Q01826	SATB1	6304	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P97481	Epas1	13819	Q9WTL8	Arntl	11865	mouse	0407:direct interaction	0018:two hybrid
P23497	SP100	6672	Q15554	TERF2	7014	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0809:bimolecular fluorescence complementation
Q14188	TFDP2	7029	P24941	CDK2	1017	human	0915:physical association	0364:inferred by curator
Q02548	PAX5	5079	P10242	MYB	4602	human	0915:physical association	0004:affinity chromatography technology
Q86UP3	ZFHX4	79776	Q99853	FOXB1	27023	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q9JM73	Srf	20807	Q60775	Elf1	13709	mouse	0915:physical association	0018:two hybrid
Q9NPA5	ZFP64	55734	Q9UC06	ZNF70	7621	human	0407:direct interaction	0018:two hybrid
Q86VK4	ZNF410	57862	Q53GC0	SERTAD1	29950	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P51449	RORC	6097	Q9BZS1	FOXP3	50943	human	0914:association	0007:anti tag coimmunoprecipitation
Q04864	REL	5966	Q9UKB1	FBXW11	23291	human	0915:physical association	0364:inferred by curator
Q99459	CDC5L	988	Q9Y613	FHOD1	29109	human	0914:association	0006:anti bait coimmunoprecipitation
Q03060	CREM	1390	Q06330	RBPJ	3516	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q01094	E2F1	1869	P40337	VHL	7428	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
D0VY79	HIF1A	3091	O60675	MAFK	7975	human	0407:direct interaction	0096:pull down
Q9BZS1	FOXP3	50943	P35398	RORA	6095	human	0915:physical association	0018:two hybrid
Q14934	NFATC4	4776	Q14693	LPIN1	23175	human	0915:physical association	0004:affinity chromatography technology
Q96ME7	ZNF512	84450	Q99496	RNF2	6045	human	0915:physical association	0004:affinity chromatography technology
Q13485	SMAD4	4089	Q6FHJ7	SFRP4	6424	human	0915:physical association	0397:two hybrid array
Q13422	IKZF1	10320	Q13573	SNW1	22938	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q96QR8	PURB	5814	P35226	BMI1	648	human	0915:physical association	0004:affinity chromatography technology
P32314	FOXN2	3344	P0CG48	UBC	7316	human	0915:physical association	0004:affinity chromatography technology
Q9HCD5	NCOA5	57727	Q99549	MPHOSPH8	54737	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P23511	NFYA	4800	Q15544	TAF11	6882	human	0407:direct interaction	0096:pull down
Q9BQ70	TCF25	22980	P98170	XIAP	331	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q15366	PCBP2	5094	Q9BQA1	WDR77	79084	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q03701	CEBPZ	10153	Q13951	CBFB	865	human	0915:physical association	0034:display technology
P17947	SPI1	6688	P68400	CSNK2A1	1457	human	0407:direct interaction	0415:enzymatic study
P48380	RFX3	5991	P48431	SOX2	6657	human	0915:physical association	0004:affinity chromatography technology
Q61221	Hif1a	15251	Q61324	Arnt2	11864	mouse	0914:association	0413:electrophoretic mobility shift assay
Q92922	SMARCC1	6599	P46531	NOTCH1	4851	human	0915:physical association	0004:affinity chromatography technology
P57721	PCBP3	54039	Q9Y265	RUVBL1	8607	human	0915:physical association	0004:affinity chromatography technology
P16951	Atf2	11909	Q9WTU6	Mapk9	26420	mouse	0407:direct interaction	0415:enzymatic study
Q9UBL3	ASH2L	9070	Q96ST3	SIN3A	25942	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0029:cosedimentation through density gradient
P05412	JUN	3725	Q01196	RUNX1	861	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q86VP1	TAX1BP1	8887	Q14103	HNRNPD	3184	human	0915:physical association	0004:affinity chromatography technology
Q92993	KAT5	10524	Q06330	RBPJ	3516	human	0915:physical association	0004:affinity chromatography technology
P09874	PARP1	142	Q6IT96	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0415:enzymatic study; 0004:affinity chromatography technology
Q8N5A5	ZGPAT	84619	Q13547	HDAC1	3065	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0071:molecular sieving; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q13105	ZBTB17	7709	Q9NYF0	DACT1	51339	human	0915:physical association	0004:affinity chromatography technology
P10275	AR	367	Q93009	USP7	7874	human	0915:physical association	0004:affinity chromatography technology
Q92731	ESR2	2100	Q8TDD1	DDX54	79039	human	0407:direct interaction	0096:pull down
Q96F45	ZNF503	84858	Q9ULK4	MED23	9439	human	0915:physical association	0004:affinity chromatography technology
Q9C0J9	BHLHE41	79365	D0VY79	HIF1A	3091	human	0915:physical association	0004:affinity chromatography technology
Q9Y6Q9	NCOA3	8202	O14980	XPO1	7514	human	0915:physical association	0004:affinity chromatography technology
Q92785	DPF2	5977	P05412	JUN	3725	human	0914:association	0006:anti bait coimmunoprecipitation
Q8IX07	ZFPM1	161882	P23769	GATA2	2624	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q92908	GATA6	2627	Q01844	EWSR1	2130	human	0915:physical association	1313:bioid
P84022	SMAD3	4088	Q14686	NCOA6	23054	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q8WXF1	PSPC1	55269	O14776	TCERG1	10915	human	0407:direct interaction	0096:pull down
P20263	Pou5f1	18999	Q5SVQ0	Kat7	217127	mouse	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q86U86	PBRM1	55193	Q8TAQ2	SMARCC2	6601	human	0915:physical association; 0914:association	0019:coimmunoprecipitation; 0004:affinity chromatography technology
Q13330	MTA1	9112	Q96EB6	SIRT1	23411	human	0915:physical association	0004:affinity chromatography technology
O43365	HOXA3	3200	Q9H161	ALX4	60529	human	0407:direct interaction	0018:two hybrid
Q7RTV0	PHF5A	84844	P22626	HNRNPA2B1	3181	human	0915:physical association	0364:inferred by curator
Q6ZSB9	ZBTB49	166793	Q9BQA5	HINFP	25988	human	0915:physical association	0004:affinity chromatography technology
P15884	TCF4	6925	Q7RTU0	TCF24	100129654	human	0915:physical association	0004:affinity chromatography technology
Q15583	TGIF1	7050	Q9Y2T1	AXIN2	8313	human	0915:physical association; 0914:association	0018:two hybrid; 0006:anti bait coimmunoprecipitation
Q9UBB5	MBD2	8932	O95983	MBD3	53615	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
P20226	TBP	6908	P08047	SP1	6667	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0364:inferred by curator
Q16633	POU2AF1	5450	P23769	GATA2	2624	human	0407:direct interaction	0018:two hybrid
P50221	MEOX1	4222	Q9HD42	CHMP1A	5119	human	0915:physical association	0004:affinity chromatography technology
O08785	Clock	12753	Q9JHD1	Kat2b	18519	mouse	0915:physical association	0004:affinity chromatography technology
Q12778	FOXO1	2308	Q13485	SMAD4	4089	human	0915:physical association	0004:affinity chromatography technology
P26367	PAX6	5080	P21675	TAF1	6872	human	0915:physical association	0004:affinity chromatography technology
Q03701	CEBPZ	10153	P01106	MYC	4609	human	0915:physical association	0006:anti bait coimmunoprecipitation
P23769	GATA2	2624	Q16633	POU2AF1	5450	human	0407:direct interaction	0018:two hybrid
P37231	PPARG	5468	O43513	MED7	9443	human	0915:physical association	0364:inferred by curator
Q92466	DDB2	1643	P63165	SUMO1	7341	human	0915:physical association	0364:inferred by curator
P51692	STAT5B	6777	Q53G26	DNAJA3	9093	human	0915:physical association	0006:anti bait coimmunoprecipitation
Q92793	CREBBP	1387	Q14186	TFDP1	7027	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q920B9	Supt16	114741	mouse	0915:physical association	0004:affinity chromatography technology
P15408	FOSL2	2355	Q96LA8	PRMT6	55170	human	0915:physical association	0004:affinity chromatography technology
Q96JM3	CHAMP1	283489	Q9HC52	CBX8	57332	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P01106	MYC	4609	Q9NSI6	BRWD1	54014	human	0914:association	0676:tandem affinity purification
Q99853	FOXB1	27023	P00374	DHFR	1719	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P20749	BCL3	602	Q04206	RELA	5970	human	0914:association	0006:anti bait coimmunoprecipitation
Q15366	PCBP2	5094	P17096	HMGA1	3159	human	0407:direct interaction	0096:pull down
P22736	NR4A1	3164	P15884	TCF4	6925	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q9UBL3	ASH2L	9070	Q9Y3Y4	PYGO1	26108	human	0915:physical association	0364:inferred by curator
P01106	MYC	4609	A8K5I0	HSPA1B	3304	human	0915:physical association	0004:affinity chromatography technology
P52630	STAT2	6773	P40763	STAT3	6774	human	0915:physical association	0006:anti bait coimmunoprecipitation
P67809	YBX1	4904	P50570	DNM2	1785	human	0915:physical association	0007:anti tag coimmunoprecipitation
O43918	AIRE	326	P16333	NCK1	4690	human	0915:physical association	0081:peptide array
Q9H171	ZBP1	81030	Q92618	ZNF516	9658	human	0915:physical association	0004:affinity chromatography technology
Q15562	TEAD2	8463	Q9NZC9	SMARCAL1	50485	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q16520	BATF	10538	P53567	CEBPG	1054	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
P12757	SKIL	6498	Q8TDY2	RB1CC1	9821	human	0915:physical association	0004:affinity chromatography technology
Q9Y3Q8	TSC22D4	81628	Q53SS8	PCBP1	5093	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9Y2K7	KDM2A	22992	Q01094	E2F1	1869	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
O95644	NFATC1	4772	P39880	CUX1	1523	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q16520	BATF	10538	P17535	JUND	3727	human	0407:direct interaction	0081:peptide array
P67809	YBX1	4904	Q8N5C8	TAB3	257397	human	0915:physical association	0007:anti tag coimmunoprecipitation
P52926	HMGA2	8091	Q99717	SMAD5	4090	human	0915:physical association	0004:affinity chromatography technology
P10244	MYBL2	4605	Q16254	E2F4	1874	human	0915:physical association	0006:anti bait coimmunoprecipitation
Q99K48	Nono	53610	Q921E6	Eed	13626	mouse	0915:physical association	0004:affinity chromatography technology
Q04206	RELA	5970	P11142	HSPA8	3312	human	0915:physical association	0004:affinity chromatography technology
Q92785	DPF2	5977	Q00653	NFKB2	4791	human	0407:direct interaction	0096:pull down
P10276	RARA	5914	Q99743	NPAS2	4862	human	0407:direct interaction	0018:two hybrid; 0096:pull down
P84022	SMAD3	4088	O75376	NCOR1	9611	human	0915:physical association	0364:inferred by curator
Q61103	Dpf2	19708	Q3TKT4	Smarca4	20586	mouse	0915:physical association	0004:affinity chromatography technology
P19838	NFKB1	4790	Q9Y6Q9	NCOA3	8202	human	0915:physical association	0004:affinity chromatography technology
Q99576	TSC22D3	1831	Q8N140	EID3	493861	human	0915:physical association	0004:affinity chromatography technology
P17676	CEBPB	1051	Q92793	CREBBP	1387	human	0407:direct interaction	0096:pull down
P14653	HOXB1	3211	Q15291	RBBP5	5929	human	0915:physical association	0364:inferred by curator
Q15714	TSC22D1	8848	Q9P031	CCDC59	29080	human	0915:physical association	0006:anti bait coimmunoprecipitation
P05412	JUN	3725	Q6FG41	FOS	2353	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 0006:anti bait coimmunoprecipitation; 0016:circular dichroism; 0007:anti tag coimmunoprecipitation; 0114:x-ray crystallography; 0055:fluorescent resonance energy transfer; 0398:two hybrid pooling approach; 0034:display technology; 0090:protein complementation assay; 0364:inferred by curator; 0081:peptide array; 0813:proximity ligation assay; 0065:isothermal titration calorimetry; 0096:pull down; 0809:bimolecular fluorescence complementation; 0676:tandem affinity purification; 0004:affinity chromatography technology
P18847	ATF3	467	P51532	SMARCA4	6597	human	0915:physical association	0004:affinity chromatography technology
P10275	AR	367	Q9HBE1	PATZ1	23598	human	0915:physical association	0004:affinity chromatography technology
O94776	MTA2	9219	P51587	BRCA2	675	human	0914:association	0007:anti tag coimmunoprecipitation
Q3UNW5	Tfcp2l1	81879	Q9JI44	Dmap1	66233	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q86UK7	ZNF598	90850	Q15637	SF1	7536	human	0914:association	0006:anti bait coimmunoprecipitation
P41182	BCL6	604	P20823	HNF1A	6927	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q08050	FOXM1	2305	P63165	SUMO1	7341	human	0407:direct interaction	0055:fluorescent resonance energy transfer
P51532	SMARCA4	6597	Q13547	HDAC1	3065	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
P22736	NR4A1	3164	Q9Y618	NCOR2	9612	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
P15336	ATF2	1386	O14867	BACH1	571	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
P42229	STAT5A	6776	Q15303	ERBB4	2066	human	0915:physical association	0004:affinity chromatography technology
P28347	TEAD1	7003	Q15561	TEAD4	7004	human	0915:physical association	0004:affinity chromatography technology
Q01196	RUNX1	861	P05412	JUN	3725	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q9BPY8	HOPX	84525	Q99081	TCF12	6938	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P04637	TP53	7157	P16220	CREB1	1385	human	0915:physical association; 0407:direct interaction	0813:proximity ligation assay; 0096:pull down; 0004:affinity chromatography technology
Q16559	TAL2	6887	Q9H0N5	PCBD2	84105	human	0407:direct interaction	0018:two hybrid
Q96PM9	ZNF385A	25946	P0CG47	UBB	7314	human	0915:physical association	0006:anti bait coimmunoprecipitation
Q13568	IRF5	3663	Q92905	COPS5	10987	human	0915:physical association	0004:affinity chromatography technology
P05412	JUN	3725	Q93009	USP7	7874	human	0914:association	0006:anti bait coimmunoprecipitation
P20226	TBP	6908	Q8IYW5	RNF168	165918	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P04637	TP53	7157	Q5U5U6	UBB	7314	human	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
O60264	SMARCA5	8467	Q92731	ESR2	2100	human	0914:association	0029:cosedimentation through density gradient; 0004:affinity chromatography technology
Q9Y5A6	ZSCAN21	7589	Q96IT1	ZNF496	84838	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q03989	ARID5A	10865	Q9BQY4	RHOXF2	84528	human	0407:direct interaction	0018:two hybrid
O75717	WDHD1	11169	O43638	FOXS1	2307	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q6SJ96	TBPL2	387332	Q5VWG9	TAF3	83860	human	0915:physical association	0004:affinity chromatography technology
Q15788	NCOA1	8648	P55055	NR1H2	7376	human	0407:direct interaction	0018:two hybrid
Q9UKT9	IKZF3	22806	O00459	PIK3R2	5296	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
O60264	SMARCA5	8467	Q6IT96	HDAC1	3065	human	0915:physical association	0364:inferred by curator
Q02446	SP4	6671	Q01094	E2F1	1869	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P10276	RARA	5914	P11831	SRF	6722	human	0407:direct interaction	0018:two hybrid; 0096:pull down
Q9BYV9	BACH2	60468	Q9HBE1	PATZ1	23598	human	0407:direct interaction	0018:two hybrid
Q96GM5	SMARCD1	6602	O60341	KDM1A	23028	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P11831	SRF	6722	Q9Y618	NCOR2	9612	human	0407:direct interaction	0018:two hybrid; 0096:pull down
P55196	MLLT4	4301	P05412	JUN	3725	human	0914:association	0006:anti bait coimmunoprecipitation
P08151	GLI1	2735	O00422	SAP18	10284	human	0915:physical association	0004:affinity chromatography technology
P52633	Stat6	20852	P62962	Pfn1	18643	mouse	0915:physical association	0018:two hybrid
Q53SS8	PCBP1	5093	Q5T6U8	HMGA1	3159	human	0407:direct interaction	0047:far western blotting
Q8N7Q3	ZNF676	163223	Q9H3D4	TP63	8626	human	0915:physical association	0004:affinity chromatography technology
Q00613	HSF1	3297	Q08752	PPID	5481	human	0407:direct interaction	0096:pull down
P23497	SP100	6672	Q9P0U3	SENP1	29843	human	0407:direct interaction	0415:enzymatic study
P38398	BRCA1	672	O60341	KDM1A	23028	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P13349	MYF5	4617	Q99750	MDFI	4188	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q01167	FOXK2	3607	Q9H2P0	ADNP	23394	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q8R3B7	Brd8	78656	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q61312	Tfap2c	21420	Q8VDK3	Elf5	13711	mouse	0915:physical association	0004:affinity chromatography technology
P26358	DNMT1	1786	Q9NPF5	DMAP1	55929	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9NQ87	HEYL	26508	Q93062	RBPMS	11030	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q01826	SATB1	6304	P63165	SUMO1	7341	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down
Q9UPM6	LHX6	26468	Q5TA31	RNF187	149603	human	0915:physical association	0004:affinity chromatography technology
Q6NT76	HMBOX1	79618	Q9HC52	CBX8	57332	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P05412	JUN	3725	Q92841	DDX17	10521	human	0914:association	0006:anti bait coimmunoprecipitation
Q9NTW7	ZFP64	55734	P25791	LMO2	4005	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q14865	ARID5B	84159	Q86VP6	CAND1	55832	human	0915:physical association	0004:affinity chromatography technology
Q01196	RUNX1	861	O75376	NCOR1	9611	human	0407:direct interaction	0096:pull down
Q9C009	FOXQ1	94234	Q13948	CUX1	1523	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P09874	PARP1	142	P06401	PGR	5241	human	0915:physical association	0004:affinity chromatography technology
O15265	ATXN7	6314	O75478	TADA2A	6871	human	0915:physical association	0004:affinity chromatography technology
Q07869	PPARA	5465	Q96ST3	SIN3A	25942	human	0915:physical association	0364:inferred by curator
Q9UBC0	ONECUT1	3175	Q92831	KAT2B	8850	human	0407:direct interaction	0096:pull down
Q12986	NFX1	4799	P61088	UBE2N	7334	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
P58012	FOXL2	668	Q96I24	FUBP3	8939	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q9Y2D1	ATF5	22809	Q96RU7	TRIB3	57761	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P53564	Cux1	13047	P48432	Sox2	20674	mouse	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
P04637	TP53	7157	P78527	PRKDC	5591	human	0915:physical association; 0407:direct interaction	0686:unspecified method; 0415:enzymatic study; 0004:affinity chromatography technology
O35182	Smad6	17130	O35625	Axin1	12005	mouse	0915:physical association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q6STE5	SMARCD3	6604	P03372	ESR1	2099	human	0407:direct interaction	0096:pull down
P04637	TP53	7157	A8K5I0	HSPA1B	3304	human	0915:physical association	0004:affinity chromatography technology
Q9NYF8	BCLAF1	9774	Q99496	RNF2	6045	human	0915:physical association	0004:affinity chromatography technology
O70237	Gfi1b	14582	O54864	Suv39h1	20937	mouse	0915:physical association	0006:anti bait coimmunoprecipitation
P43243	MATR3	9782	Q15424	SAFB	6294	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9BQA5	HINFP	25988	Q6KC79	NIPBL	25836	human	0407:direct interaction	0018:two hybrid
Q8N143	BCL6B	255877	P41182	BCL6	604	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0096:pull down; 0397:two hybrid array; 1356:validated two hybrid
Q01201	RELB	5971	P49841	GSK3B	2932	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0415:enzymatic study; 0004:affinity chromatography technology
Q15796	SMAD2	4087	Q6ZNA4	RNF111	54778	human	0915:physical association	0004:affinity chromatography technology
P23497	SP100	6672	P63279	UBE2I	7329	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 0096:pull down; 0415:enzymatic study
Q92993	KAT5	10524	P15336	ATF2	1386	human	0915:physical association	0004:affinity chromatography technology
Q8N184	ZNF567	163081	P61457	PCBD1	5092	human	0407:direct interaction	0018:two hybrid
O35317	Pbx3	18516	Q8K5B8	Hoxc12	15421	mouse	0407:direct interaction	0018:two hybrid
Q9P0T4	ZNF581	51545	O60341	KDM1A	23028	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P10275	AR	367	Q13569	TDG	6996	human	0407:direct interaction	0096:pull down
P42229	STAT5A	6776	Q92731	ESR2	2100	human	0407:direct interaction	0096:pull down
Q9R1Y5	Hic1	15248	Q924A0	Tcf7l2	21416	mouse	0915:physical association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P52927	Hmga2	15364	Q8R480	Nup85	445007	mouse	0914:association	0096:pull down
P08047	SP1	6667	P04637	TP53	7157	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0004:affinity chromatography technology
Q5T200	ZC3H13	23091	O75586	MED6	10001	human	0915:physical association	0004:affinity chromatography technology
O60264	SMARCA5	8467	Q01167	FOXK2	3607	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P14859	POU2F1	5451	P16220	CREB1	1385	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q13568	IRF5	3663	Q9Y618	NCOR2	9612	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q99459	CDC5L	988	Q8NBB4	ZSCAN1	284312	human	0407:direct interaction	0018:two hybrid
O15391	YY2	404281	Q06587	RING1	6015	human	0915:physical association	0004:affinity chromatography technology
Q9Y6K1	DNMT3A	1788	Q99549	MPHOSPH8	54737	human	0915:physical association; 0914:association; 0407:direct interaction	0686:unspecified method; 0114:x-ray crystallography; 0004:affinity chromatography technology
Q86T29	ZNF605	100289635	P45983	MAPK8	5599	human	0407:direct interaction	0018:two hybrid
P18847	ATF3	467	Q16520	BATF	10538	human	0407:direct interaction	0055:fluorescent resonance energy transfer
Q16666	IFI16	3428	Q8NEY8	PPHLN1	51535	human	0915:physical association	0004:affinity chromatography technology
